"competenciamov";"saldomovimentacao";"pais";"continente";"uf";"municipio";"cbo2002ocupacao";"subclasse";"secao";"categoria";"sexo";"nivel_instrucao";"salario";"faixa_etaria";"racacor";"faixa_horas_contrat";"indtrabparcial";"indtrabintermitente";"tipomovimentacao";"unidadesalariocodigo";"valorsalariofixo";"status_migratorio"
"202001";"1";"BOLÍVIA";"AMÉRICA DO SUL";"11";"110010";"513505";"5611201";"I";"101";"3";"04";"1128";"05";"6";"06";"0";"0";"20";"";"";"Permanente"
"202001";"1";"VENEZUELA";"AMÉRICA DO SUL";"13";"130260";"414110";"4637199";"G";"101";"1";"04";"112500";"03";"3";"07";"0";"0";"20";"";"";"Temporário"
"202001";"-1";"VENEZUELA";"AMÉRICA DO SUL";"13";"130260";"521115";"4712100";"G";"101";"1";"04";"1128.15";"04";"3";"05";"0";"0";"43";"";"";"Sem informação"
"202001";"1";"VENEZUELA";"AMÉRICA DO SUL";"29";"292740";"354125";"4781400";"G";"111";"3";"04";"1139.6";"03";"6";"01";"0";"1";"20";"";"";"Temporário"
"202001";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"351640";"717020";"4120400";"F";"101";"1";"04";"1513.92";"04";"6";"06";"0";"0";"20";"";"";"Permanente"
"202001";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"355030";"621005";"151201";"A";"101";"1";"04";"1111";"04";"2";"06";"0";"0";"20";"";"";"Refugiado/solicitante de refúgio"
"202002";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"35";"355030";"413225";"6499999";"K";"101";"3";"04";"3253.8";"07";"1";"04";"0";"0";"40";"5";"3253.8";"Sem informação"
"202002";"-1";"NATURALIDADE BRASILEIRA";"NATURALIDADE BRASILEIRA";"35";"355030";"413225";"6499999";"K";"101";"1";"07";"8791.57";"06";"1";"05";"0";"0";"40";"5";"8791.57";"Sem informação"
"202002";"1";"CUBA";"AMÉRICA CENTRAL E CARIBE";"41";"410690";"514320";"5620102";"I";"101";"3";"04";"850";"04";"1";"05";"0";"0";"10";"";"";"Sem informação"
"202003";"1";"SÍRIA";"ÁSIA";"35";"355030";"234664";"8512100";"P";"101";"3";"06";"2000";"04";"1";"06";"0";"0";"20";"";"";"Sem informação"
"202003";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"43";"431490";"514320";"5611203";"I";"101";"3";"04";"1239.46";"03";"6";"06";"0";"0";"20";"";"";"Permanente"
"202003";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"52";"520110";"715210";"4120400";"F";"101";"1";"03";"1559.26";"04";"2";"06";"0";"0";"43";"";"";"Permanente"
"202004";"-1";"BOLÍVIA";"AMÉRICA DO SUL";"11";"110010";"513505";"5611201";"I";"101";"3";"04";"1128";"05";"6";"06";"0";"0";"31";"";"";"Permanente"
"202004";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"52";"520110";"717020";"4120400";"F";"101";"1";"04";"1045";"02";"3";"06";"0";"0";"40";"";"";"Sem informação"
"202005";"-1";"ROMÊNIA";"EUROPA";"15";"150080";"234520";"8599699";"P";"101";"3";"07";"3402";"06";"1";"06";"0";"0";"31";"5";"3402";"Permanente"
"202006";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"351640";"717020";"4120400";"F";"101";"3";"04";"1513.92";"04";"6";"06";"0";"0";"20";"";"";"Permanente"
"202006";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"351640";"717020";"4120400";"F";"101";"1";"04";"1513.92";"03";"6";"06";"0";"0";"20";"";"";"Sem informação"
"202006";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"351640";"717020";"4120400";"F";"101";"1";"04";"1513.92";"04";"6";"06";"0";"0";"20";"";"";"Refugiado/solicitante de refúgio"
"202006";"1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"351640";"717020";"4120400";"F";"101";"1";"04";"1513.92";"03";"6";"06";"0";"0";"20";"";"";"Sem informação"
"202006";"-1";"HAITI";"AMÉRICA CENTRAL E CARIBE";"35";"354870";"783225";"1742701";"C";"101";"1";"04";"1400";"04";"1";"06";"0";"0";"31";"5";"1400";"Refugiado/solicitante de refúgio"
"202006";"1";"BOLÍVIA";"AMÉRICA DO SUL";"35";"355030";"717020";"7112000";"M";"111";"1";"04";"1552";"05";"3";"06";"0";"1";"20";"";"";"Sem informação"
