Competência,País,UF,Município,Categoria,Sexo,Nível de Instrução,Salário,Faixa Etária,Carga Horária do Contrato,Status Migratório
202001,BOLÍVIA,11,110010,101,3,4,"1128,00",5,6,Permanente
202001,VENEZUELA,13,130260,101,1,4,"112500,00",3,7,Temporário
202001,VENEZUELA,13,130260,101,1,4,"1128,15",4,5,Sem Informação
202001,VENEZUELA,29,292740,111,3,4,"1139,60",3,1,Temporário
202001,HAITI,35,351640,101,1,4,"1513,92",4,6,Permanente
202001,HAITI,35,355030,101,1,4,"1111,00",4,6,Refugiado/Solicitante de Refúgio
202002,NATURALIDADE BRASILEIRA,35,355030,101,3,4,"3253,80",7,4,Sem Informação
202002,NATURALIDADE BRASILEIRA,35,355030,101,1,7,"8791,57",6,5,Sem Informação
202002,CUBA,41,410690,101,3,4,"850,00",4,5,Sem Informação
202003,SÍRIA,35,355030,101,3,6,"2000,00",4,6,Sem Informação
202003,HAITI,43,431490,101,3,4,"1239,46",3,6,Permanente
202003,HAITI,52,520110,101,1,3,"1559,26",4,6,Permanente
202004,BOLÍVIA,11,110010,101,3,4,"1128,00",5,6,Permanente
202004,HAITI,52,520110,101,1,4,"1045,00",2,6,Sem Informação
202005,ROMÊNIA,15,150080,101,3,7,"3402,00",6,6,Permanente
202006,HAITI,35,351640,101,3,4,"1513,92",4,6,Permanente
202006,HAITI,35,351640,101,1,4,"1513,92",3,6,Sem Informação
202006,HAITI,35,351640,101,1,4,"1513,92",4,6,Refugiado/Solicitante de Refúgio
202006,HAITI,35,351640,101,1,4,"1513,92",3,6,Sem Informação
202006,HAITI,35,354870,101,1,4,"1400,00",4,6,Refugiado/Solicitante de Refúgio
202006,BOLÍVIA,35,355030,111,1,4,"1552,00",5,6,Sem Informação
202007,HAITI,52,520110,101,1,3,"1045,00",3,6,Sem Informação
202008,VENEZUELA,13,130260,101,1,4,"1200,00",5,6,Permanente
202008,COSTA DO MARFIM,33,330455,105,1,4,"366761,23",4,4,Sem Informação
202009,HAITI,35,355030,101,1,2,"1886,98",4,6,Permanente
202009,PARAGUAI,35,355030,101,1,4,"1508,02",4,6,Permanente
202009,SENEGAL,43,430165,101,1,4,"1510,00",3,6,Refugiado/Solicitante de Refúgio
202010,VENEZUELA,13,130260,101,1,2,"1045,00",4,6,Temporário
202010,VENEZUELA,33,330455,101,1,1,"1239,00",2,6,Refugiado/Solicitante de Refúgio
202010,PARAGUAI,35,355030,101,1,4,"1600,00",4,6,Sem Informação
202011,NATURALIDADE BRASILEIRA,23,230440,101,1,4,"1045,00",4,6,Sem Informação
202011,HAITI,35,351640,101,1,1,"1841,67",4,6,Permanente
202011,HAITI,35,355030,101,1,4,"1497,15",5,6,Permanente
202012,BOLÍVIA,35,351440,101,1,7,"11902,00",4,5,Sem Informação
